2016-Aug-26 20:50:49.682754 INFO    [daemon] forknote v1.0.11.697 ()
2016-Aug-26 20:50:49.691759 INFO    [daemon] Module folder: titacoind.exe
2016-Aug-26 20:50:49.700387 INFO    [daemon] Initializing p2p server...
2016-Aug-26 20:50:49.706779 INFO    [node_server] Generated new peer ID: 11303801732353822598
2016-Aug-26 20:50:49.716188 INFO    [node_server] Binding on 0.0.0.0:41041
2016-Aug-26 20:50:49.724740 INFO    [node_server] Net service binded on 0.0.0.0:41041
2016-Aug-26 20:50:49.732770 INFO    [node_server] Attempting to add IGD port mapping.
2016-Aug-26 20:50:53.747509 INFO    [node_server] No IGD was found.
2016-Aug-26 20:50:53.754483 INFO    [daemon] P2p server initialized OK
2016-Aug-26 20:50:53.761301 INFO    [daemon] Initializing core...
2016-Aug-26 20:50:53.768453 INFO    [Blockchain] Blockchain not loaded, generating genesis block.
2016-Aug-26 20:50:53.821335 INFO    [Blockchain] Blockchain initialized. last block: 0, d1514.h12.m50.s53 time ago, current difficulty: 1
2016-Aug-26 20:50:53.833436 INFO    [daemon] Core initialized OK
2016-Aug-26 20:50:53.841273 INFO    [daemon] Starting core rpc server on address 127.0.0.1:41042
2016-Aug-26 20:50:53.852340 INFO    [daemon] Core rpc server started ok
2016-Aug-26 20:50:53.861303 INFO    [daemon] Starting p2p net loop...
2016-Aug-26 20:50:53.869031 INFO    [node_server] Starting node_server
2016-Aug-26 20:51:03.877608 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2016-Aug-26 20:51:03.897602 INFO    [core] 
2016-Aug-26 20:51:03.897602 INFO    [core] **********************************************************************
2016-Aug-26 20:51:03.897602 INFO    [core] The daemon will start synchronizing with the network. It may take up to several hours.
2016-Aug-26 20:51:03.897602 INFO    [core] 
2016-Aug-26 20:51:03.897602 INFO    [core] You can set the level of process detailization* through "set_log <level>" command*, where <level> is between 0 (no details) and 4 (very verbose).
2016-Aug-26 20:51:03.897602 INFO    [core] 
2016-Aug-26 20:51:03.897602 INFO    [core] Use "help" command to see the list of available commands.
2016-Aug-26 20:51:03.897602 INFO    [core] 
2016-Aug-26 20:51:03.897602 INFO    [core] Note: in case you need to interrupt the process, use "exit" command. Otherwise, the current progress won't be saved.
2016-Aug-26 20:51:03.897602 INFO    [core] **********************************************************************
